class_id,class_name,precision,recall,f1_score,support
0,Speed limit (20km/h),1.0,1.0,1.0,32
1,Speed limit (30km/h),0.9972677595628415,1.0,0.9986320109439124,365
2,Speed limit (50km/h),1.0,0.9971014492753624,0.9985486211901307,345
3,Speed limit (60km/h),1.0,1.0,1.0,224
4,Speed limit (70km/h),0.9929577464788732,1.0,0.9964664310954063,282
5,Speed limit (80km/h),1.0,0.9930313588850174,0.9965034965034965,287
6,End of speed limit (80km/h),1.0,1.0,1.0,68
7,Speed limit (100km/h),0.9956896551724138,1.0,0.9978401727861771,231
8,Speed limit (120km/h),0.9954545454545455,0.9909502262443439,0.9931972789115646,221
9,No passing,1.0,1.0,1.0,217
10,No passing for vehicles over 3.5t,1.0,0.9965986394557823,0.9982964224872232,294
11,Right-of-way at next intersection,1.0,0.9951690821256038,0.9975786924939467,207
12,Priority road,1.0,1.0,1.0,306
13,Yield,0.9967532467532467,1.0,0.9983739837398374,307
14,Stop,1.0,1.0,1.0,90
15,No vehicles,1.0,1.0,1.0,99
16,Vehicles over 3.5t prohibited,1.0,1.0,1.0,63
17,No entry,1.0,1.0,1.0,159
18,General caution,0.9943502824858758,1.0,0.9971671388101983,176
19,Dangerous curve left,1.0,1.0,1.0,35
20,Dangerous curve right,1.0,1.0,1.0,55
21,Double curve,0.9838709677419355,0.9838709677419355,0.9838709677419355,62
22,Bumpy road,1.0,1.0,1.0,56
23,Slippery road,1.0,1.0,1.0,71
24,Road narrows on the right,1.0,1.0,1.0,46
25,Road work,0.9957081545064378,1.0,0.9978494623655914,232
26,Traffic signals,1.0,1.0,1.0,76
27,Pedestrians,1.0,0.9761904761904762,0.9879518072289156,42
28,Children crossing,1.0,1.0,1.0,79
29,Bicycles crossing,1.0,0.9761904761904762,0.9879518072289156,42
30,Beware of ice/snow,1.0,0.9866666666666667,0.9932885906040269,75
31,Wild animals crossing,0.984375,1.0,0.9921259842519685,126
32,End of all speed and passing limits,1.0,1.0,1.0,38
33,Turn right ahead,1.0,1.0,1.0,105
34,Turn left ahead,1.0,1.0,1.0,64
35,Ahead only,1.0,1.0,1.0,154
36,Go straight or right,1.0,1.0,1.0,64
37,Go straight or left,1.0,1.0,1.0,31
38,Keep right,1.0,1.0,1.0,299
39,Keep left,1.0,1.0,1.0,43
40,Roundabout mandatory,1.0,1.0,1.0,42
41,End of no passing,1.0,1.0,1.0,41
42,End of no passing by vehicles over 3.5t,1.0,1.0,1.0,30
