class_id,class_name,precision,recall,f1_score,support
0,Speed limit (20km/h),1.0,0.9375,0.967741935483871,32
1,Speed limit (30km/h),0.989010989010989,0.9863013698630136,0.9876543209876543,365
2,Speed limit (50km/h),0.9884726224783862,0.9942028985507246,0.9913294797687862,345
3,Speed limit (60km/h),1.0,0.9955357142857143,0.9977628635346756,224
4,Speed limit (70km/h),0.9894736842105263,1.0,0.9947089947089947,282
5,Speed limit (80km/h),0.993006993006993,0.9895470383275261,0.9912739965095986,287
6,End of speed limit (80km/h),1.0,1.0,1.0,68
7,Speed limit (100km/h),0.9955947136563876,0.9783549783549783,0.9868995633187773,231
8,Speed limit (120km/h),0.9733333333333334,0.9909502262443439,0.9820627802690582,221
9,No passing,1.0,1.0,1.0,217
10,No passing for vehicles over 3.5t,1.0,0.9965986394557823,0.9982964224872232,294
11,Right-of-way at next intersection,0.9951923076923077,1.0,0.9975903614457832,207
12,Priority road,1.0,1.0,1.0,306
13,Yield,0.9967532467532467,1.0,0.9983739837398374,307
14,Stop,1.0,1.0,1.0,90
15,No vehicles,1.0,1.0,1.0,99
16,Vehicles over 3.5t prohibited,1.0,1.0,1.0,63
17,No entry,1.0,1.0,1.0,159
18,General caution,1.0,0.9829545454545454,0.9914040114613181,176
19,Dangerous curve left,1.0,1.0,1.0,35
20,Dangerous curve right,1.0,1.0,1.0,55
21,Double curve,1.0,1.0,1.0,62
22,Bumpy road,1.0,1.0,1.0,56
23,Slippery road,1.0,1.0,1.0,71
24,Road narrows on the right,1.0,1.0,1.0,46
25,Road work,1.0,1.0,1.0,232
26,Traffic signals,0.9620253164556962,1.0,0.9806451612903225,76
27,Pedestrians,1.0,1.0,1.0,42
28,Children crossing,1.0,1.0,1.0,79
29,Bicycles crossing,1.0,0.9761904761904762,0.9879518072289156,42
30,Beware of ice/snow,1.0,0.9733333333333334,0.9864864864864865,75
31,Wild animals crossing,0.984375,1.0,0.9921259842519685,126
32,End of all speed and passing limits,1.0,1.0,1.0,38
33,Turn right ahead,1.0,1.0,1.0,105
34,Turn left ahead,1.0,1.0,1.0,64
35,Ahead only,1.0,1.0,1.0,154
36,Go straight or right,1.0,1.0,1.0,64
37,Go straight or left,1.0,1.0,1.0,31
38,Keep right,1.0,1.0,1.0,299
39,Keep left,1.0,1.0,1.0,43
40,Roundabout mandatory,1.0,1.0,1.0,42
41,End of no passing,0.9761904761904762,1.0,0.9879518072289156,41
42,End of no passing by vehicles over 3.5t,1.0,0.9666666666666667,0.9830508474576272,30
