class_id,class_name,precision,recall,f1_score,support
0,Class 0,1.0,0.96875,0.9841269841269841,32
1,Class 1,0.989100817438692,0.9945205479452055,0.9918032786885246,365
2,Class 2,0.9941860465116279,0.991304347826087,0.9927431059506531,345
3,Class 3,0.9955357142857143,0.9955357142857143,0.9955357142857143,224
4,Class 4,0.9791666666666666,1.0,0.9894736842105263,282
5,Class 5,0.9895833333333334,0.9930313588850174,0.991304347826087,287
6,Class 6,1.0,0.9852941176470589,0.9925925925925926,68
7,Class 7,1.0,0.974025974025974,0.9868421052631579,231
8,Class 8,0.9819004524886877,0.9819004524886877,0.9819004524886877,221
9,Class 9,1.0,1.0,1.0,217
10,Class 10,1.0,0.9965986394557823,0.9982964224872232,294
11,Class 11,1.0,0.9806763285024155,0.9902439024390244,207
12,Class 12,0.996742671009772,1.0,0.99836867862969,306
13,Class 13,0.9967532467532467,1.0,0.9983739837398374,307
14,Class 14,1.0,1.0,1.0,90
15,Class 15,1.0,1.0,1.0,99
16,Class 16,1.0,1.0,1.0,63
17,Class 17,1.0,1.0,1.0,159
18,Class 18,1.0,1.0,1.0,176
19,Class 19,1.0,1.0,1.0,35
20,Class 20,0.9821428571428571,1.0,0.990990990990991,55
21,Class 21,0.9838709677419355,0.9838709677419355,0.9838709677419355,62
22,Class 22,1.0,1.0,1.0,56
23,Class 23,0.9861111111111112,1.0,0.993006993006993,71
24,Class 24,1.0,1.0,1.0,46
25,Class 25,1.0,1.0,1.0,232
26,Class 26,1.0,1.0,1.0,76
27,Class 27,1.0,1.0,1.0,42
28,Class 28,1.0,1.0,1.0,79
29,Class 29,1.0,1.0,1.0,42
30,Class 30,0.9605263157894737,0.9733333333333334,0.9668874172185431,75
31,Class 31,0.9921259842519685,1.0,0.9960474308300395,126
32,Class 32,1.0,0.9736842105263158,0.9866666666666667,38
33,Class 33,1.0,1.0,1.0,105
34,Class 34,1.0,1.0,1.0,64
35,Class 35,1.0,1.0,1.0,154
36,Class 36,1.0,1.0,1.0,64
37,Class 37,1.0,1.0,1.0,31
38,Class 38,1.0,1.0,1.0,299
39,Class 39,1.0,1.0,1.0,43
40,Class 40,1.0,1.0,1.0,42
41,Class 41,0.9761904761904762,1.0,0.9879518072289156,41
42,Class 42,1.0,0.9666666666666667,0.9830508474576272,30
