class_id,class_name,precision,recall,f1_score,support
0,Class 0,1.0,1.0,1.0,32
1,Class 1,0.9972677595628415,1.0,0.9986320109439124,365
2,Class 2,1.0,0.9971014492753624,0.9985486211901307,345
3,Class 3,1.0,1.0,1.0,224
4,Class 4,0.9929577464788732,1.0,0.9964664310954063,282
5,Class 5,1.0,0.9930313588850174,0.9965034965034965,287
6,Class 6,1.0,1.0,1.0,68
7,Class 7,0.9956896551724138,1.0,0.9978401727861771,231
8,Class 8,0.9954545454545455,0.9909502262443439,0.9931972789115646,221
9,Class 9,1.0,1.0,1.0,217
10,Class 10,1.0,0.9965986394557823,0.9982964224872232,294
11,Class 11,1.0,0.9951690821256038,0.9975786924939467,207
12,Class 12,1.0,1.0,1.0,306
13,Class 13,0.9967532467532467,1.0,0.9983739837398374,307
14,Class 14,1.0,1.0,1.0,90
15,Class 15,1.0,1.0,1.0,99
16,Class 16,1.0,1.0,1.0,63
17,Class 17,1.0,1.0,1.0,159
18,Class 18,0.9943502824858758,1.0,0.9971671388101983,176
19,Class 19,1.0,1.0,1.0,35
20,Class 20,1.0,1.0,1.0,55
21,Class 21,0.9838709677419355,0.9838709677419355,0.9838709677419355,62
22,Class 22,1.0,1.0,1.0,56
23,Class 23,1.0,1.0,1.0,71
24,Class 24,1.0,1.0,1.0,46
25,Class 25,0.9957081545064378,1.0,0.9978494623655914,232
26,Class 26,1.0,1.0,1.0,76
27,Class 27,1.0,0.9761904761904762,0.9879518072289156,42
28,Class 28,1.0,1.0,1.0,79
29,Class 29,1.0,0.9761904761904762,0.9879518072289156,42
30,Class 30,1.0,0.9866666666666667,0.9932885906040269,75
31,Class 31,0.984375,1.0,0.9921259842519685,126
32,Class 32,1.0,1.0,1.0,38
33,Class 33,1.0,1.0,1.0,105
34,Class 34,1.0,1.0,1.0,64
35,Class 35,1.0,1.0,1.0,154
36,Class 36,1.0,1.0,1.0,64
37,Class 37,1.0,1.0,1.0,31
38,Class 38,1.0,1.0,1.0,299
39,Class 39,1.0,1.0,1.0,43
40,Class 40,1.0,1.0,1.0,42
41,Class 41,1.0,1.0,1.0,41
42,Class 42,1.0,1.0,1.0,30
