class_id,class_name,precision,recall,f1_score,support
0,Class 0,1.0,1.0,1.0,32
1,Class 1,0.994535519125683,0.9972602739726028,0.9958960328317373,365
2,Class 2,0.9884726224783862,0.9942028985507246,0.9913294797687862,345
3,Class 3,0.9955357142857143,0.9955357142857143,0.9955357142857143,224
4,Class 4,0.9929577464788732,1.0,0.9964664310954063,282
5,Class 5,0.993006993006993,0.9895470383275261,0.9912739965095986,287
6,Class 6,1.0,1.0,1.0,68
7,Class 7,0.9914163090128756,1.0,0.9956896551724138,231
8,Class 8,1.0,0.9819004524886877,0.9908675799086758,221
9,Class 9,0.9954128440366973,1.0,0.9977011494252873,217
10,Class 10,1.0,1.0,1.0,294
11,Class 11,1.0,0.9710144927536232,0.9852941176470589,207
12,Class 12,1.0,1.0,1.0,306
13,Class 13,1.0,1.0,1.0,307
14,Class 14,1.0,1.0,1.0,90
15,Class 15,1.0,0.98989898989899,0.9949238578680203,99
16,Class 16,1.0,1.0,1.0,63
17,Class 17,1.0,1.0,1.0,159
18,Class 18,1.0,1.0,1.0,176
19,Class 19,1.0,1.0,1.0,35
20,Class 20,1.0,0.9818181818181818,0.9908256880733946,55
21,Class 21,0.9827586206896551,0.9193548387096774,0.95,62
22,Class 22,1.0,1.0,1.0,56
23,Class 23,0.9726027397260274,1.0,0.9861111111111112,71
24,Class 24,1.0,1.0,1.0,46
25,Class 25,0.9956896551724138,0.9956896551724138,0.9956896551724138,232
26,Class 26,1.0,0.9868421052631579,0.9933774834437086,76
27,Class 27,0.9545454545454546,1.0,0.9767441860465116,42
28,Class 28,1.0,1.0,1.0,79
29,Class 29,1.0,0.9761904761904762,0.9879518072289156,42
30,Class 30,0.9736842105263158,0.9866666666666667,0.9801324503311258,75
31,Class 31,0.9402985074626866,1.0,0.9692307692307692,126
32,Class 32,1.0,0.9736842105263158,0.9866666666666667,38
33,Class 33,1.0,1.0,1.0,105
34,Class 34,1.0,0.984375,0.9921259842519685,64
35,Class 35,1.0,1.0,1.0,154
36,Class 36,1.0,1.0,1.0,64
37,Class 37,1.0,1.0,1.0,31
38,Class 38,0.9966666666666667,1.0,0.998330550918197,299
39,Class 39,1.0,1.0,1.0,43
40,Class 40,1.0,0.9761904761904762,0.9879518072289156,42
41,Class 41,0.9761904761904762,1.0,0.9879518072289156,41
42,Class 42,1.0,0.9666666666666667,0.9830508474576272,30
