class_id,class_name,precision,recall,f1_score,support
0,Speed limit (20km/h),0.9696969696969697,1.0,0.9846153846153847,32
1,Speed limit (30km/h),0.9972451790633609,0.9917808219178083,0.9945054945054945,365
2,Speed limit (50km/h),0.997093023255814,0.9942028985507246,0.9956458635703919,345
3,Speed limit (60km/h),0.986784140969163,1.0,0.9933481152993349,224
4,Speed limit (70km/h),0.9893992932862191,0.9929078014184397,0.9911504424778761,282
5,Speed limit (80km/h),0.9965034965034965,0.9930313588850174,0.9947643979057592,287
6,End of speed limit (80km/h),1.0,0.9852941176470589,0.9925925925925926,68
7,Speed limit (100km/h),0.9871794871794872,1.0,0.9935483870967742,231
8,Speed limit (120km/h),1.0,0.9864253393665159,0.9931662870159453,221
9,No passing,1.0,0.9953917050691244,0.9976905311778291,217
10,No passing for vehicles over 3.5t,0.9966101694915255,1.0,0.99830220713073,294
11,Right-of-way at next intersection,1.0,1.0,1.0,207
12,Priority road,1.0,1.0,1.0,306
13,Yield,1.0,1.0,1.0,307
14,Stop,1.0,1.0,1.0,90
15,No vehicles,1.0,1.0,1.0,99
16,Vehicles over 3.5t prohibited,0.984375,1.0,0.9921259842519685,63
17,No entry,1.0,1.0,1.0,159
18,General caution,1.0,0.9943181818181818,0.9971509971509972,176
19,Dangerous curve left,1.0,1.0,1.0,35
20,Dangerous curve right,1.0,0.9818181818181818,0.9908256880733946,55
21,Double curve,1.0,1.0,1.0,62
22,Bumpy road,1.0,1.0,1.0,56
23,Slippery road,1.0,0.9859154929577465,0.9929078014184397,71
24,Road narrows on the right,1.0,1.0,1.0,46
25,Road work,1.0,0.9956896551724138,0.9978401727861771,232
26,Traffic signals,0.987012987012987,1.0,0.9934640522875817,76
27,Pedestrians,1.0,1.0,1.0,42
28,Children crossing,1.0,1.0,1.0,79
29,Bicycles crossing,0.9767441860465116,1.0,0.9882352941176471,42
30,Beware of ice/snow,0.9866666666666667,0.9866666666666667,0.9866666666666667,75
31,Wild animals crossing,1.0,1.0,1.0,126
32,End of all speed and passing limits,1.0,1.0,1.0,38
33,Turn right ahead,1.0,1.0,1.0,105
34,Turn left ahead,1.0,1.0,1.0,64
35,Ahead only,1.0,1.0,1.0,154
36,Go straight or right,1.0,1.0,1.0,64
37,Go straight or left,1.0,1.0,1.0,31
38,Keep right,0.9966666666666667,1.0,0.998330550918197,299
39,Keep left,1.0,1.0,1.0,43
40,Roundabout mandatory,1.0,1.0,1.0,42
41,End of no passing,0.9761904761904762,1.0,0.9879518072289156,41
42,End of no passing by vehicles over 3.5t,1.0,0.9666666666666667,0.9830508474576272,30
