class_id,class_name,precision,recall,f1_score,support
0,Class 0,1.0,0.9375,0.967741935483871,32
1,Class 1,0.989010989010989,0.9863013698630136,0.9876543209876543,365
2,Class 2,0.9884726224783862,0.9942028985507246,0.9913294797687862,345
3,Class 3,1.0,0.9955357142857143,0.9977628635346756,224
4,Class 4,0.9894736842105263,1.0,0.9947089947089947,282
5,Class 5,0.993006993006993,0.9895470383275261,0.9912739965095986,287
6,Class 6,1.0,1.0,1.0,68
7,Class 7,0.9955947136563876,0.9783549783549783,0.9868995633187773,231
8,Class 8,0.9733333333333334,0.9909502262443439,0.9820627802690582,221
9,Class 9,1.0,1.0,1.0,217
10,Class 10,1.0,0.9965986394557823,0.9982964224872232,294
11,Class 11,0.9951923076923077,1.0,0.9975903614457832,207
12,Class 12,1.0,1.0,1.0,306
13,Class 13,0.9967532467532467,1.0,0.9983739837398374,307
14,Class 14,1.0,1.0,1.0,90
15,Class 15,1.0,1.0,1.0,99
16,Class 16,1.0,1.0,1.0,63
17,Class 17,1.0,1.0,1.0,159
18,Class 18,1.0,0.9829545454545454,0.9914040114613181,176
19,Class 19,1.0,1.0,1.0,35
20,Class 20,1.0,1.0,1.0,55
21,Class 21,1.0,1.0,1.0,62
22,Class 22,1.0,1.0,1.0,56
23,Class 23,1.0,1.0,1.0,71
24,Class 24,1.0,1.0,1.0,46
25,Class 25,1.0,1.0,1.0,232
26,Class 26,0.9620253164556962,1.0,0.9806451612903225,76
27,Class 27,1.0,1.0,1.0,42
28,Class 28,1.0,1.0,1.0,79
29,Class 29,1.0,0.9761904761904762,0.9879518072289156,42
30,Class 30,1.0,0.9733333333333334,0.9864864864864865,75
31,Class 31,0.984375,1.0,0.9921259842519685,126
32,Class 32,1.0,1.0,1.0,38
33,Class 33,1.0,1.0,1.0,105
34,Class 34,1.0,1.0,1.0,64
35,Class 35,1.0,1.0,1.0,154
36,Class 36,1.0,1.0,1.0,64
37,Class 37,1.0,1.0,1.0,31
38,Class 38,1.0,1.0,1.0,299
39,Class 39,1.0,1.0,1.0,43
40,Class 40,1.0,1.0,1.0,42
41,Class 41,0.9761904761904762,1.0,0.9879518072289156,41
42,Class 42,1.0,0.9666666666666667,0.9830508474576272,30
